Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Team,Country,Season
SW Billings,5,4,0,88,54,22.00,64,137.5,0,1,0,4,4,DD,ENG,2016
CR Brathwaite,8,6,0,83,34,13.83,38,218.42,0,0,0,6,8,DD,WI,2016
MA Agarwal,3,3,0,27,10,9.00,25,108.0,0,0,0,3,1,DD,IND,2016
SS Iyer,6,6,0,30,19,5.00,43,69.76,0,0,3,2,1,DD,IND,2016
Imran Tahir,4,1,0,5,5,5.00,7,71.42,0,0,0,1,0,DD,RSA,2016
Z Khan,12,2,0,6,4,3.00,13,46.15,0,0,0,1,0,DD,IND,2016
J Yadav,5,2,0,6,5,3.00,10,60.0,0,0,0,0,0,DD,IND,2016
A Mishra,14,2,0,4,3,2.00,14,28.57,0,0,0,0,0,DD,IND,2016
NM Coulter-Nile,4,2,2,9,7*,-,14,64.28,0,0,0,1,0,DD,AUS,2016
Mohammed Shami,8,2,2,2,2*,-,4,50.0,0,0,0,0,0,DD,IND,2016
S Nadeem,4,1,1,1,1*,-,5,20.0,0,0,0,0,0,DD,IND,2016
AJ Finch,13,12,2,393,74,39.30,299,131.43,0,5,2,45,11,GL,AUS,2016
DR Smith,12,12,1,324,73,29.45,221,146.60,0,3,1,35,16,GL,WI,2016
SK Raina,15,15,1,399,75,28.50,312,127.88,0,3,0,39,10,GL,IND,2016
KD Karthik,16,15,2,335,53,25.76,266,125.93,0,3,1,38,3,GL,IND,2016
JP Faulkner,7,5,2,77,32,25.66,59,130.50,0,0,0,7,0,GL,AUS,2016
BB McCullum,16,16,0,354,60,22.12,262,135.11,0,1,1,38,16,GL,NZ,2016
RA Jadeja,15,15,6,191,36*,21.22,177,107.90,0,0,1,14,4,GL,IND,2016
DS Kulkarni,14,5,3,27,10,13.50,16,168.75,0,0,0,3,0,GL,IND,2016
DJ Bravo,15,13,5,99,22*,12.37,82,120.73,0,0,1,11,1,GL,WI,2016
ER Dwivedi,4,2,0,24,19,12.00,14,171.42,0,0,0,2,2,GL,IND,2016
Ishan Kishan,5,5,0,42,27,8.40,41,102.43,0,0,1,5,0,GL,IND,2016
AD Nath,4,3,0,20,12,6.66,27,74.07,0,0,0,1,0,GL,IND,2016
P Kumar,16,7,3,24,15,6.00,26,92.30,0,0,1,3,0,GL,IND,2016
DW Steyn,1,1,0,1,1,1.00,2,50.00,0,0,0,0,0,GL,RSA,2016
S Kaushik,7,2,1,0,0*,0.00,1,0.00,0,0,1,0,0,GL,IND,2016
PV Tambe,7,1,1,7,7*,-,19,36.84,0,0,0,1,0,GL,IND,2016
SB Jakati,6,1,1,1,1*,-,2,50.00,0,0,0,0,0,GL,IND,2016
S Ladda,1,-,-,-,-,-,-,-,-,-,-,-,-,GL,IND,2016
PJ Sangwan,2,-,-,-,-,-,-,-,-,-,-,-,-,GL,IND,2016
MP Stoinis,7,5,1,146,52,36.50,108,135.18,0,1,1,13,4,KXIP,AUS,2016
M Vijay,14,14,1,453,89,34.84,364,124.45,0,5,0,50,10,KXIP,IND,2016
SE Marsh,6,6,1,159,56*,31.80,134,118.65,0,1,0,13,4,KXIP,AUS,2016
HM Amla,6,6,0,157,96,26.16,119,131.93,0,1,1,20,4,KXIP,RSA,2016
WP Saha,12,12,1,270,56,24.54,212,127.35,0,2,0,29,1,KXIP,IND,2016
M Vohra,7,7,0,161,51,23.00,131,122.90,0,1,1,19,3,KXIP,IND,2016
Gurkeerat Singh,7,6,1,113,51,22.60,86,131.39,0,1,1,11,3,KXIP,IND,2016
GJ Maxwell,11,11,2,179,68,19.88,124,144.35,0,2,3,14,8,KXIP,AUS,2016
P Sahu,5,2,1,19,18*,19.00,13,146.15,0,0,0,1,1,KXIP,IND,2016
DA Miller,14,13,3,161,31,16.10,131,122.90,0,0,1,11,4,KXIP,RSA,2016
AR Patel,14,10,3,111,36*,15.85,77,144.15,0,0,2,4,8,KXIP,IND,2016
KJ Abbott,5,3,2,13,12*,13.00,8,162.50,0,0,1,0,1,KXIP,RSA,2016
KC Cariappa,5,2,1,13,12*,13.00,11,118.18,0,0,0,0,1,KXIP,IND,2016
NS Naik,2,2,0,23,22,11.50,31,74.19,0,0,0,1,0,KXIP,IND,2016
MM Sharma,14,6,2,32,15,8.00,26,123.07,0,0,0,3,1,KXIP,IND,2016
F Behardien,3,3,1,14,9*,7.00,13,107.69,0,0,1,2,0,KXIP,RSA,2016
MG Johnson,3,3,1,5,4,2.50,14,35.71,0,0,0,0,0,KXIP,AUS,2016
Swapnil Singh,1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,KXIP,IND,2016
R Dhawan,2,2,2,14,11*,-,6,233.33,0,0,0,0,1,KXIP,IND,2016
Sandeep Sharma,14,4,4,8,5*,-,9,88.88,0,0,0,0,0,KXIP,IND,2016
Anureet Singh,2,-,-,-,-,-,-,-,-,-,-,-,-,KXIP,IND,2016
YK Pathan,15,13,8,361,63*,72.20,248,145.56,0,3,0,33,13,KKR,IND,2016
G Gambhir,15,15,2,501,90*,38.53,411,121.89,0,5,1,54,6,KKR,IND,2016
